,"
","639-3
","
","639-1
","
","639-2B
","
","Scope/Type
","
","Family
","
","Native
","
","eng
","
","fra
","
","spa
","
","zho
","
","rus
","
","deu
"
0,"
","aaa 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Ghotuo,"
",,"
",,"
",,"
",Гхотуо,"
","
"
1,"
","aab 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Alumu-Tesu,"
",,"
",,"
",,"
",Алуму-тесу,"
","
"
2,"
","aac 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Ari,"
",,"
",,"
",阿里语,"
",Ари,"
","
"
3,"
","aad 
","
",,"
",,"
",I/L,"
",Sepik,"
",,"
",Amal,"
",,"
",,"
",,"
",Амал,"
","
"
4,"
","aae 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Albanian (Arbëreshë Dialect),"
",albanais,"
",,"
",,"
",албанский,"
","Albanisch
"
5,"
","aaf 
","
",,"
",,"
",I/L,"
",Dravidian,"
",,"
",Aranadan,"
",,"
",,"
",,"
",аранадан,"
","
"
6,"
","aag 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Ambrak,"
",,"
",,"
",,"
",амбрак,"
","
"
7,"
","aah 
","
",,"
",,"
",I/L,"
",Torricelli,"
",,"
",Abu’ Arapesh,"
",,"
",,"
",,"
",абу-арапеш,"
","
"
8,"
","aai 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Arifama-Miniafia,"
",,"
",,"
",,"
",арифама-маниафиа,"
","
"
9,"
","aak 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Ankave,"
",,"
",,"
",,"
",анкаве,"
","
"
10,"
","aal 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",afaë,"
",Afade,"
",,"
",,"
",,"
",афаде,"
","
"
11,"
","(aam) 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Aramanik,"
",,"
",,"
",,"
",араманик,"
","
"
12,"
","aan 
","
",,"
",,"
",I/L,"
",Tupian,"
",,"
",Anambé,"
",,"
",anambé,"
",,"
",анамбе,"
","
"
13,"
","aao 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Algerian Saharan),"
",arabe (Sahara algérien),"
",árabe (sahariano argelino),"
",阿尔及利亚撒哈拉阿拉伯语,"
",арабский (Сахара),"
","Arabisch (Algerische Sahara)
"
14,"
","aap 
","
",,"
",,"
",I/L,"
",Cariban,"
",,"
","Arára, Pará","
",,"
","arára, pará","
",,"
",пара-арара,"
","
"
15,"
","aaq 
","
",,"
",,"
",I/E,"
",Algic,"
",,"
",Abnaki (Eastern),"
",,"
",,"
",,"
",абенаки (восточный),"
","
"
16,"
","aar 
","
",aa,"
",aar,"
",I/L,"
",Afro-Asiatic,"
",Afaraf,"
",Afar,"
",afar,"
",afar,"
",阿法尔语l; 阿法语,"
",афар,"
","Afar
"
17,"
","aas 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
",Aasáx,"
",,"
",,"
",,"
",аса,"
","
"
18,"
","aat 
","
",,"
",,"
",I/L,"
",Indo-European,"
",,"
",Albanian (Arvanitika),"
",albanais (Arvanitika),"
",,"
",,"
",албанский (Арванитика),"
","
"
19,"
","aau 
","
",,"
",,"
",I/L,"
",Sepik,"
",,"
",Abau,"
",,"
",,"
",,"
",абау,"
","
"
20,"
","aaw 
","
",,"
",,"
",I/L,"
",Western Oceanic,"
",,"
",Solong,"
",,"
",,"
",,"
",солонг,"
","
"
21,"
","aax 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Mandobo Atas,"
",,"
",,"
",,"
",мандобо-атас,"
","
"
22,"
","(aay) 
","
",,"
",,"
",I/L,"
",spurious language,"
",,"
",Aariya,"
",,"
",,"
",,"
",аария,"
","
"
23,"
","aaz 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Amarasi,"
",,"
",,"
",,"
",амараси,"
","
"
24,"
","aba 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Abé,"
",,"
",,"
",,"
",абе,"
","
"
25,"
","abb 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Bankon,"
",,"
",,"
",,"
",банкон,"
","
"
26,"
","abc 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Ayta, Ambala","
",,"
",,"
",,"
",амбала-айта,"
","
"
27,"
","abd 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Agta, Camarines Norte","
",,"
",,"
",,"
",агта (Камаринес Норте),"
","
"
28,"
","abe 
","
",,"
",,"
",I/L,"
",Algic,"
",Wôbanakiôdwawôgan,"
","Abnaki, Western","
",abénaquis ouest,"
",,"
",,"
",западный абенаки,"
","
"
29,"
","abf 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Abai Sungai,"
",,"
",,"
",,"
",абай-сунгай,"
","
"
30,"
","abg 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Abaga,"
",,"
",,"
",,"
",абага,"
","
"
31,"
","abh 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Tajiki),"
",arabe (tadjik),"
",,"
",塔吉克阿拉伯语,"
",арабский (таджикский),"
","Arabisch (Tadschikistan)
"
32,"
","abi 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Abidji,"
",,"
",,"
",,"
",абиджи,"
","
"
33,"
","abj 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Aka-Bea,"
",,"
",,"
",,"
",беа,"
","
"
34,"
","abk 
","
",ab,"
",abk,"
",I/L,"
",Northwest Caucasian,"
",Аҧсуа,"
",Abkhazian,"
",abkhaze,"
",abjaso,"
",阿布哈兹语,"
",абхазский,"
","Abchasisch
"
35,"
","abl 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Abung,"
",,"
",,"
",,"
",абунг,"
","
"
36,"
","abm 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Abanyom,"
",,"
",,"
",,"
",абаньом,"
","
"
37,"
","abn 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Abua,"
",,"
",,"
",阿布安语,"
",абуа,"
","
"
38,"
","abo 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Abon,"
",,"
",,"
",,"
",абон,"
","
"
39,"
","abp 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Ayta, Abenlen","
",,"
",,"
",,"
",абенлен-айта,"
","
"
40,"
","abq 
","
",,"
",,"
",I/L,"
",Northwest Caucasian,"
",абаза,"
",Abaza,"
",abaza,"
",abaza,"
",阿巴札语,"
",абазинский,"
","Abasinisch
"
41,"
","abr 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Abron,"
",,"
",,"
",,"
",аброн,"
","
"
42,"
","abs 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
","Malay, Ambonese","
",malais (ambonais),"
",,"
",,"
",амбонский малайский,"
","
"
43,"
","abt 
","
",,"
",,"
",I/L,"
",Papuan,"
",,"
",Ambulas,"
",,"
",,"
",,"
",амбулас,"
","
"
44,"
","abu 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",ɔbule ɔyʋɛ,"
",Abure,"
",,"
",,"
",,"
",абуре,"
","
"
45,"
","abv 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Baharna),"
",arabe (Baharna),"
",árabe (Baharna),"
",,"
",арабский (Бахарна),"
","Arabisch (Baharna)
"
46,"
","abw 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Pal,"
",,"
",,"
",,"
",пал,"
","
"
47,"
","abx 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Inabaknon,"
",,"
",,"
",,"
",инабакнон,"
","
"
48,"
","aby 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Aneme Wake,"
",,"
",,"
",,"
",анеме-ваке,"
","
"
49,"
","abz 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Abui,"
",,"
",,"
",,"
",абуи,"
","
"
50,"
","aca 
","
",,"
",,"
",I/L,"
",Arawakan,"
",,"
",Achagua,"
",,"
",,"
",,"
",ачагуа,"
","
"
51,"
","acb 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Áncá,"
",,"
",,"
",,"
",анка,"
","
"
52,"
","(acc) 
","
",,"
",,"
",I/L,"
",Mayan,"
",,"
","Achí, Cubulco","
",,"
",,"
",,"
",кубулькский ачи,"
","
"
53,"
","acd 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Gikyode,"
",,"
",,"
",,"
",гикьоде,"
","
"
54,"
","ace 
","
",,"
",ace,"
",I/L,"
",Austronesian,"
",Aceh,"
",Achinese,"
",aceh,"
",achinés,"
",亚齐语,"
",ачехский,"
","
"
55,"
","acf 
","
",,"
",,"
",I/L,"
",French Creole,"
",kwéyòl,"
",Saint Lucian Creole French,"
",créole français de Sainte-Lucie,"
",,"
",圣卢西亚克里奥尔法语,"
",сент-люсийский креольский французский,"
","
"
56,"
","ach 
","
",,"
",ach,"
",I/L,"
",Nilo-Saharan,"
",,"
",Acoli,"
",acoli,"
",,"
",阿乔利语,"
",ачоли,"
","
"
57,"
","aci 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Aka-Cari,"
",,"
",,"
",,"
",чариар,"
","
"
58,"
","ack 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Aka-Kora,"
",,"
",,"
",,"
",кора,"
","
"
59,"
","acl 
","
",,"
",,"
",I/E,"
",Great Andamanese,"
",,"
",Akar-Bale,"
",,"
",,"
",,"
",акар-бале,"
","
"
60,"
","acm 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Mesopotamian),"
",arabe (mésopotamien),"
",,"
",美索不达米亚阿拉伯语,"
",арабский (Месопотамский),"
","Arabisch (mesopotamisch)
"
61,"
","acn 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",Mönghsa,"
",Achang,"
",,"
",,"
",阿昌语,"
",ачанг,"
","
"
62,"
","acp 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
","Acipa, Eastern","
",,"
",,"
",,"
",восточный акипа,"
","
"
63,"
","acq 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
","Arabic, Ta'izzi-Adeni Spoken","
",arabe (parlé de Ta’izzi-Adeni),"
",,"
",,"
",арабский (таиззи-адени),"
","
"
64,"
","acr 
","
",,"
",,"
",I/L,"
",Mayan,"
",,"
","Achí, Rabinal","
",,"
",,"
",,"
",рабиналский ачи,"
","
"
65,"
","acs 
","
",,"
",,"
",I/E,"
",Macro-Jê,"
",,"
",Acroá,"
",,"
",,"
",,"
",акроа,"
","
"
66,"
","act 
","
",,"
",,"
",I/L,"
",Indo-European,"
",Achterhooks,"
",Achterhooks,"
",,"
",,"
",,"
",ахтерхучки (диалект),"
","
"
67,"
","acu 
","
",,"
",,"
",I/L,"
",Jivaroan,"
",,"
",Achuar-Shiwiar,"
",achuar-shiwiar,"
",,"
",,"
",ачуар-шивиар,"
","
"
68,"
","acv 
","
",,"
",,"
",I/L,"
",Palaihnihan,"
",Ajúmmááwí,"
",Achumawi,"
",,"
",,"
",,"
",ачумави,"
","
"
69,"
","acw 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Hijazi),"
",arabe (Hijazi),"
",,"
",,"
",арабский (хиджази),"
","Arabisch (Hijazi)
"
70,"
","acx 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Omani),"
",arabe (omanais),"
",,"
",,"
",арабский (оманский),"
","Arabisch (Oman)
"
71,"
","acy 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Cypriot),"
",arabe (chypriote),"
",,"
",,"
",арабский (киприотский),"
","Arabisch (Zypern)
"
72,"
","acz 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Acheron,"
",,"
",,"
",,"
",ачерон,"
","
"
73,"
","ada 
","
",,"
",ada,"
",I/L,"
",Niger–Congo,"
",,"
",Adangme,"
",adangme,"
",,"
",阿当梅语,"
",адангме,"
","
"
74,"
","adb 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Adabe,"
",,"
",,"
",,"
",адабе,"
","
"
75,"
","add 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Dzodinka,"
",,"
",,"
",,"
",дзодинка,"
","
"
76,"
","ade 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Adele,"
",,"
",,"
",阿德勒语,"
",аделе,"
","
"
77,"
","adf 
","
",,"
",,"
",I/L,"
",Arabic,"
",,"
",Arabic (Dhofari),"
",arabe (Dhofari),"
",,"
",,"
",арабский (дхофари),"
","Arabisch (Dofari)
"
78,"
","adg 
","
",,"
",,"
",I/L,"
",Pama–Nyungan,"
",,"
",Andegerebinha,"
",,"
",,"
",,"
",антекерепиня,"
","
"
79,"
","adh 
","
",,"
",,"
",I/L,"
",Nilo-Saharan,"
",,"
",Adhola,"
",,"
",,"
",,"
",адхола,"
","
"
80,"
","adi 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Adi,"
",,"
",,"
",崩尼-博嘎尔语; 博嘎尔-珞巴语,"
",ади,"
","
"
81,"
","adj 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",mɔjukru,"
",Adioukrou,"
",,"
",,"
",,"
",адиукру,"
","
"
82,"
","adl 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Adi (Galo),"
",,"
",,"
",,"
",ади (гало),"
","
"
83,"
","adn 
","
",,"
",,"
",I/L,"
",Trans–New Guinea,"
",,"
",Adang,"
",,"
",,"
",,"
",аданг,"
","
"
84,"
","ado 
","
",,"
",,"
",I/L,"
",Ramu,"
",,"
",Abu,"
",,"
",,"
",,"
",абу,"
","
"
85,"
","(adp) 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
",Adap,"
",,"
",,"
",,"
",адап,"
","
"
86,"
","adq 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Adangbe,"
",,"
",,"
",,"
",адангбе,"
","
"
87,"
","adr 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Adonara,"
",,"
",,"
",,"
",адонара,"
","
"
88,"
","ads 
","
",,"
",,"
",I/L,"
",West African gestural area,"
",,"
",Adamorobe Sign Language,"
",langue des signes adamorobe,"
",,"
",,"
",адаморобе жестовый,"
","
"
89,"
","adt 
","
",,"
",,"
",I/L,"
",Pama–Nyungan,"
",Yura Ngawarla,"
",Adynyamathanha,"
",,"
",,"
",,"
",атьняматаня,"
","
"
90,"
","adu 
","
",,"
",,"
",I/L,"
",Niger–Congo,"
",,"
",Aduge,"
",,"
",,"
",,"
",адуге,"
","
"
91,"
","adw 
","
",,"
",,"
",I/L,"
",Tupian,"
",,"
",Amundava,"
",,"
",amundava,"
",,"
",амундава,"
","
"
92,"
","adx 
","
",,"
",,"
",I/L,"
",Sino-Tibetan,"
",,"
","Tibetan, Amdo","
",tibétain (Amdo),"
",,"
",安多藏语,"
",тибетский (амдо),"
","
"
93,"
","ady 
","
",,"
",ady,"
",I/L,"
",Northwest Caucasian,"
",адыгэбзэ,"
",Adyghe; Adygei,"
",adyghé,"
",adigué,"
",阿迪格语,"
",адыгейский,"
","
"
94,"
","adz 
","
",,"
",,"
",I/L,"
",Austronesian,"
",,"
",Adzera,"
",,"
",,"
",,"
",адзера,"
","
"
95,"
","aea 
","
",,"
",,"
",I/E,"
",Pama–Nyungan,"
",,"
",Areba,"
",,"
",,"
",,"
",арепа,"
","
"
96,"
","aeb 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",تونسي,"
","Arabic, Tunisian Spoken","
",arabe (tunisien parlé),"
",árabe (dialecto tunecino),"
",突尼斯阿拉伯语,"
",арабский (тунисский),"
","
"
97,"
","aec 
","
",,"
",,"
",I/L,"
",Afro-Asiatic,"
",,"
","Arabic, Saidi Spoken","
",arabe (séoudien parlé),"
",,"
",,"
",арабский (саиди),"
","
"
98,"
","aed 
","
",,"
",,"
",I/L,"
",unclassified,"
",,"
",Argentine Sign Language,"
",langue des signes Argentine,"
",lengua de señas Argentina,"
",阿根廷手语,"
",аргентинский жестовый,"
","
"
